Date,Open,High,Low,Close
28-October-2009,16335.78,16411.14,16144.17,16283.49,
29-October-2009,16191.39,16264.09,15993.83,16052.72,
30-October-2009,16135.87,16360.88,15805.20,15896.28,
3-November-2009,15838.63,15957.06,15330.56,15404.94,
4-November-2009,15487.97,15929.09,15487.97,15912.13,
5-November-2009,15926.13,16092.38,15564.89,16063.90,
6-November-2009,16137.42,16283.86,16075.19,16158.28,
9-November-2009,16190.79,16517.42,16147.21,16498.72,
10-November-2009,16552.43,16677.53,16371.66,16440.56,
11-November-2009,16444.44,16887.80,16405.19,16849.60,
12-November-2009,16822.18,16896.62,16605.01,16696.03,
13-November-2009,16693.15,16909.74,16666.70,16848.83,
16-November-2009,16893.11,17083.20,16893.11,17032.51,
17-November-2009,17036.23,17080.17,16882.98,17050.65,
18-November-2009,17032.01,17098.79,16958.41,16998.78,
19-November-2009,17004.98,17004.98,16712.33,16785.65,
20-November-2009,16772.75,17041.79,16635.75,17021.85,
23-November-2009,17067.14,17214.58,17045.02,17180.18,
24-November-2009,17230.86,17230.86,17027.52,17131.08,
25-November-2009,17149.08,17290.48,17124.15,17198.95,
26-November-2009,17199.05,17202.51,16808.87,16854.93,
27-November-2009,16718.80,16718.80,16210.44,16632.01,
30-November-2009,16655.75,17026.91,16655.75,16926.22,
1-December-2009,16947.46,17218.46,16947.46,17198.27,
2-December-2009,17226.49,17329.68,17142.36,17169.91,
3-December-2009,17199.64,17361.27,17128.21,17185.68,
4-December-2009,17182.23,17291.83,17032.81,17101.54,
7-December-2009,17106.74,17176.62,16943.01,16983.14,
8-December-2009,16984.54,17237.79,16964.11,17227.68,
9-December-2009,17204.32,17227.96,17057.37,17125.22,
10-December-2009,17107.00,17231.05,17032.30,17189.31,
11-December-2009,17199.74,17351.71,17056.12,17119.03,
14-December-2009,17118.14,17275.19,17048.17,17097.55,
15-December-2009,17150.59,17200.47,16835.78,16877.16,
16-December-2009,16866.95,16996.12,16777.94,16912.77,
17-December-2009,16912.25,16979.52,16826.00,16894.25,
18-December-2009,16855.91,16899.19,16693.06,16719.83,
21-December-2009,16724.84,16750.99,16577.78,16601.20,
22-December-2009,16633.81,16738.12,16633.81,16692.00,
23-December-2009,16723.96,17252.09,16723.96,17231.11,
24-December-2009,17265.47,17413.69,17198.09,17360.61,
29-December-2009,17388.67,17486.05,17372.63,17401.56,
30-December-2009,17402.24,17440.05,17322.80,17343.82,
31-December-2009,17365.37,17530.94,17365.37,17464.81,
4-January-2010,17473.45,17582.84,17378.38,17558.73,
5-January-2010,17555.77,17729.78,17555.77,17686.24,
6-January-2010,17719.47,17790.33,17636.71,17701.13,
7-January-2010,17701.97,17733.34,17566.54,17615.72,
8-January-2010,17603.87,17658.12,17508.96,17540.29,
11-January-2010,17724.59,17776.57,17500.79,17526.71,
12-January-2010,17534.10,17612.00,17392.55,17422.51,
13-January-2010,17368.03,17528.31,17276.46,17509.80,
14-January-2010,17525.71,17628.04,17525.71,17584.87,
15-January-2010,17604.31,17639.85,17529.11,17554.30,
18-January-2010,17538.72,17712.60,17505.50,17641.08,
19-January-2010,17650.82,17664.86,17463.78,17486.06,
20-January-2010,17486.69,17590.59,17425.05,17474.49,
21-January-2010,17474.49,17474.49,17025.26,17051.14,
22-January-2010,16978.36,17000.33,16608.09,16859.68,
25-January-2010,16847.70,16877.77,16705.56,16780.46,
27-January-2010,16708.60,16708.60,16230.85,16289.82,
28-January-2010,16317.16,16524.69,16182.14,16306.87,
29-January-2010,16253.82,16390.31,15982.08,16357.96,
1-February-2010,16339.32,16422.40,16160.80,16356.03,
2-February-2010,16368.44,16525.98,16129.11,16163.44,
3-February-2010,16210.25,16552.99,16210.25,16496.05,
4-February-2010,16500.29,16508.22,16188.80,16224.95,
5-February-2010,16222.56,16222.56,15725.43,15790.93,
6-February-2010,15807.75,15951.07,15807.75,15915.65,
8-February-2010,15931.34,16061.41,15651.99,15935.61,
9-February-2010,15940.73,16094.13,15862.90,16042.18,
